GSM340537	GSM340538	GSM340539	GSM340540	GSM340541	GSM340542	GSM340543	GSM340544	GSM340545	GSM340546	GSM340547	GSM340548	GSM340549	GSM340550	GSM340551	GSM340552	GSM340553	GSM340554	GSM340555	GSM340556	GSM340557	GSM340558	GSM340559	GSM340560	GSM340561	GSM340562	GSM340563	GSM340564	GSM340565	GSM340566	GSM340567	GSM340568	GSM340569	GSM340570	GSM340571	GSM340572	GSM340573	GSM340574	GSM340575	GSM340576	GSM340577	GSM340578	GSM340579	GSM340580	GSM340581	GSM340582	GSM340583	GSM340584	GSM340585	GSM340586	GSM340587	GSM340588	GSM340589	GSM340590	GSM340591	GSM340592	GSM340593	GSM340594	GSM340595	GSM340596	GSM340597	GSM340598	GSM340599	GSM340600	GSM340601	GSM340602	GSM340603	GSM340604	GSM340605	GSM340606	GSM340607	GSM340608	GSM340609	GSM340610	GSM340611	GSM340612	GSM340613	GSM340614	GSM340615	GSM340616	GSM340617	GSM340618	GSM340619	GSM340620	GSM340621	GSM340622	GSM340623	GSM340624	GSM340625	GSM340626	GSM340627	GSM340628	GSM340629	GSM340630	GSM340631	GSM340632	GSM340633	GSM340634	GSM340635	GSM340636	GSM340637	GSM340638	GSM340639	GSM340640	GSM340641	GSM340642	GSM340643	GSM340644	GSM340645	GSM340646	GSM340647	GSM340648	GSM340649	GSM340650	GSM340651	GSM340652	GSM340653	GSM340654	GSM340655	GSM340656	GSM340657	GSM340658	GSM340659	GSM340660	GSM340661	GSM340662	GSM340663	GSM340664	GSM340665	GSM340666	GSM340667	GSM340668	GSM340669	GSM340670	GSM340671	GSM340672	GSM340673	GSM340674	GSM340675	GSM340676	GSM340677	GSM340678	GSM340679	GSM340680	GSM340681	GSM340682	GSM340683	GSM340684	GSM340685	GSM340686	GSM340687	GSM340688	GSM340689	GSM340690	GSM340691	GSM340692	GSM340693	GSM340694	GSM340695	GSM340696	GSM340697	GSM340698	GSM340699	GSM340700	GSM340701	GSM340702	GSM340703	GSM340704	GSM340705	GSM340706	GSM340707	GSM340708	GSM340709	GSM340710	GSM340711	GSM340712	GSM340713	GSM340714	GSM340715	GSM340716	GSM340717	GSM340718	GSM340719	GSM340720	GSM340721	GSM340722	GSM340723	GSM340724	GSM340725	GSM340726	GSM340727	GSM340728	GSM340729	GSM340730	GSM340731	GSM340732	GSM340733	GSM340734	GSM340735	GSM340736	GSM340737	GSM340738	GSM340739	GSM340740	GSM340741	GSM340742	GSM340743	GSM340744	GSM340745	GSM340746	GSM340747	GSM340748	GSM340749	GSM340750	GSM340751	GSM340752	GSM340753	GSM340754	GSM340755	GSM340756	GSM340757	GSM340758	GSM340759	GSM340760	GSM340761	GSM340762	GSM340763	GSM340764	GSM340765	GSM340766	GSM340767	GSM340768	GSM340769	GSM340770	GSM340771	GSM340772	GSM340773	GSM340774	GSM340775	GSM340776	GSM340777	GSM340778	GSM340779	GSM340780	GSM340781	GSM340782	GSM340783	GSM340784	GSM340785	GSM340786	GSM340787	GSM340788	GSM340789	GSM340790	GSM340791	GSM340792
FBN2	1	1	0	0	1	-1	0	0	1	1	-1	0	1	1	-1	1	0	1	1	0	0	1	1	0	-1	1	1	1	0	1	0	1	0	0	0	1	0	0	-1	0	1	1	0	1	0	0	-1	0	1	0	1	0	1	0	1	-1	1	1	1	-1	0	1	0	0	1	1	-1	0	-1	1	-1	-1	-1	-1	-1	0	-1	0	0	0	0	1	0	0	0	-1	-1	0	-1	-1	-1	1	0	-1	-1	0	0	-1	0	0	1	1	1	-1	-1	0	-1	-1	-1	0	-1	1	1	0	0	0	0	1	0	0	1	0	1	-1	-1	1	1	-1	1	0	-1	0	-1	0	-1	-1	0	-1	1	0	0	0	1	-1	0	1	1	-1	-1	-1	0	0	1	0	-1	0	1	1	0	1	1	1	1	1	-1	1	0	1	-1	0	0	1	1	0	1	0	0	-1	-1	-1	-1	0	0	-1	1	-1	0	0	0	-1	1	0	1	-1	1	1	0	-1	-1	-1	-1	0	0	1	-1	1	0	0	0	-1	-1	-1	1	0	0	0	-1	0	0	0	1	0	-1	1	0	1	0	0	0	1	-1	0	1	1	-1	-1	0	0	1	0	0	1	1	1	-1	-1	0	1	-1	0	1	0	1	0	-1	1
C21orf121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC390712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TNFRSF12A	0	-1	-1	0	-1	1	-1	1	0	-1	0	0	-1	0	-1	0	-1	-1	-1	-1	-1	0	0	1	1	0	-1	-1	-1	-1	1	1	0	-1	-1	-1	1	-1	0	1	1	-1	1	0	1	-1	0	0	1	1	-1	1	0	1	-1	1	0	0	-1	0	0	-1	0	1	0	1	1	1	-1	-1	1	-1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	1	0	0	-1	-1	-1	1	1	-1	-1	0	-1	0	-1	1	-1	0	1	1	1	0	-1	-1	0	-1	-1	0	1	1	1	0	-1	1	0	0	0	0	0	-1	1	0	1	0	0	0	0	-1	1	0	0	1	1	-1	-1	0	0	0	0	0	1	1	0	1	-1	1	1	-1	1	-1	-1	-1	-1	0	0	1	0	1	-1	-1	-1	1	0	-1	0	0	0	0	1	1	0	0	-1	-1	1	0	-1	1	1	1	0	1	1	-1	1	1	0	1	0	1	1	1	1	0	0	0	0	-1	1	-1	0	-1	1	0	0	1	0	0	-1	0	0	1	-1	0	1	-1	0	1	1	1	1	0	0	1	1	1	-1	-1	1	1	1	1	0	0	1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	0	1	-1	-1	-1	-1	0
LOC644779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DKFZp779O175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
UPK1B	1	1	1	1	1	-1	-1	-1	1	1	1	0	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	1	1	0	0	-1	1	0	-1	-1	0	-1	1	-1	1	1	1	-1	1	0	1	1	-1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	1	0	0	0	1	1	-1	0	-1	1	1	1	-1	0	-1	1	-1	-1	1	1	1	-1	0	1	0	-1	1	0	0	-1	-1	1	0	1	1	0	1	0	0	-1	1	0	0	1	0	-1	-1	1	1	1	1	1	1	0	1	1	1	-1	0	0	1	1	-1	1	1	1	-1	1	1	-1	0	1	-1	0	1	0	-1	-1	0	-1	1	1	1	0	1	-1	1	-1	1	-1	-1	0	0	-1	1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	0	-1	0	0	1	-1	1	-1	-1	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	0	1	-1	-1	1	1	0	-1	1	1	-1	1	0	1	1	-1	-1	-1	0	1	1	-1	1	1	1	0	1	-1	1	1	-1	1	1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	1	1	0	0	0	-1	-1	0	1	0	1	1	-1	0	1	0	1	0	1	0
LUZP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19orf31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAMP1	1	0	1	1	1	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ZNF648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNW1	-1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	-1	-1	1	0	-1	0	0	0	0	0	1	0	0	1	0	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFB2M	0	0	0	0	1	0	0	-1	0	1	-1	1	0	0	0	0	-1	0	0	1	1	0	-1	1	-1	-1	0	1	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	0	0	-1	-1	0	0	1	0	1	-1	-1	0	-1	0	0	0	0	-1	0	0	-1	0	0	-1	0	0	-1	-1	0	0	0	1	-1	-1	1	0	0	1	0	1	0	1	1	1	0	0	0	-1	0	0	0	-1	1	1	-1	0	0	-1	0	1	1	0	0	-1	-1	0	1	1	-1	-1	-1	0	-1	1	0	0	0	1	1	1	0	0	-1	0	1	0	0	-1	-1	0	0	0	0	0	-1	0	-1	1	1	0	1	1	-1	0	1	1	1	0	1	1	0	-1	0	0	0	0	-1	-1	1	0	0	1	0	0	0	0	1	0	-1	0	0	0	1	-1	0	-1	-1	1	-1	-1	0	0	0	-1	-1	1	0	-1	0	0	0	1	1	0	0	-1	-1	-1	0	1	0	0	-1	0	0	-1	0	1	0	1	-1	0	0	0	1	1	0	0	0	-1	0	-1	1	0	-1	0	-1	-1	0	0
LOC644844	0	1	-1	0	1	-1	-1	-1	1	1	0	-1	1	1	-1	1	-1	0	1	0	0	1	1	1	-1	-1	0	1	0	1	-1	1	1	0	-1	1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	-1	-1	-1	1	-1	-1	-1	0	-1	1	0	1	-1	0	0	1	-1	-1	0	-1	-1	1	-1	1	1	1	0	0	-1	-1	1	0	1	1	-1	1	0	1	0	1	1	1	0	1	-1	1	1	0	0	1	-1	1	-1	-1	0	1	0	1	0	1	-1	1	1	-1	1	1	1	1	1	0	-1	-1	-1	1	0	1	-1	1	1	0	-1	0	-1	1	-1	1	0	1	-1	1	-1	1	-1	1	-1	1	1	-1	1	1	-1	0	1	-1	1	1	0	1	0	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	-1	-1	0	1	1	1	1	-1	-1	1	-1	1	0	1	-1	-1	-1	-1	-1	1	-1	0	1	-1	-1	-1	1	-1	-1	-1	1	1	0	0	1	-1	-1	1	-1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	0	1	-1	-1	-1	-1	-1	0	-1	1	-1	-1	-1	-1	0	1	0	1	-1	-1	-1	0	1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	1	1	-1
LRRC31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC642918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RABL3	0	0	0	0	1	1	0	0	0	1	-1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	-1	0	0	0	0	1	0	0	1	-1	0	0	0	0	0	1	-1	-1	-1	-1	0	-1	0	-1	0	0	0	-1	0	-1	-1	-1	0	0	-1	-1	0	0	1	-1	-1	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	0	1	-1	-1	-1	0	-1	1	1	0	0	0	0	0	0	1	-1	0	0	0	0	-1	-1	-1	0	0	1	0	0	1	0	1	0	0	0	-1	0	0	1	0	0	0	1	0	-1	0	0	0	0	-1	-1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	-1	0	0	-1	0	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	-1	1	0	-1	0	1	0	1	-1	-1	0	0	0	1	-1	0	0	-1	-1	-1	0	-1	0	0	-1	-1	0	0
PRAMEF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHB2	0	0	0	0	0	0	0	-1	0	0	-1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	-1	-1	1	0	0	1	0	-1	-1	0	1	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	-1	-1	-1	0	0	-1	-1	0	0	1	1	0	0	-1	0	0	-1	1	0	1	0	0	-1	1	1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	1	0	-1	-1	0	0	1	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	-1	0	0	1	0	0	-1	0	0	1	0	1	1	0	0	1	0	-1	0	0	0	-1	0	0	-1	-1	0	-1	0	0	-1	0	0	0	0	0	1	-1	0	-1	1	0	0	1	0	0	0	0	1	-1	-1	0	0	1	0	-1	0	0	0	-1	0	-1	0	0	0	0	-1	0	-1	0	0	0	0	-1	-1	0	-1	-1	1	1	1	0	0	0	0	0	0	-1	1	0	0	0	0	0	0	0	1	-1	0	0	-1
TFF3	0	0	0	0	-1	1	1	-1	-1	-1	1	1	-1	0	-1	0	0	1	0	0	0	0	1	1	0	0	-1	-1	-1	0	-1	-1	-1	0	0	-1	1	1	0	1	0	0	0	-1	0	1	1	-1	1	-1	-1	0	1	0	-1	-1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	0	0	-1	1	1	0	0	1	0	0	1	0	0	0	0	-1	1	0	0	-1	1	1	-1	-1	-1	1	-1	-1	0	0	1	-1	-1	-1	-1	1	1	-1	0	1	-1	1	-1	0	-1	1	1	1	-1	1	1	-1	0	0	-1	-1	1	1	-1	1	1	1	1	1	-1	-1	0	1	0	1	0	1	-1	-1	1	1	1	1	-1	0	1	1	0	0	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	1	1	1	-1	-1	-1	0	0	-1	0	0	0	1	0	0	1	1	-1	1	1	0	0	0	1	-1	-1	1	-1	0	1	0	0	-1	0	-1	1	-1	-1	1	1	0	-1	1	-1	0	-1	1	1	1	0	-1	1	0	-1	-1	1	-1	0	-1	-1	0	1	-1	1	-1	1	1	1	1	-1	1	1	1	1	-1	0	-1	-1	-1	0	1	1	1	1	1	1	1	0	1
DOCK2	1	1	1	1	1	1	1	1	1	1	-1	-1	0	1	-1	0	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	0	-1	1	0	-1	1	0	1	0	1	-1	-1	1	-1	-1	-1	-1	0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	-1	0	0	-1	-1	-1	0	0	-1	-1	0	0	-1	0	0	-1	0	1	-1	-1	0	-1	0	-1	-1	-1	-1	1	-1	-1	0	1	-1	1	0	0	0	-1	0	-1	-1	0	-1	0	1	-1	1	-1	-1	-1	1	1	0	1	1	-1	1	0	-1	0	0	0	1	0	0	0	-1	0	0	0	-1	0	1	-1	-1	1	0	1	0	0	0	-1	0	0	1	0	-1	0	-1	1	1	-1	-1	-1	-1	-1	0	0	0	-1	0	1	1	1	-1	-1	1	-1	0	0	-1	-1	-1	-1	-1	0	1	-1	1	0	1	0	-1	1	-1	-1	1	-1	-1	-1	0	0	-1	-1	-1	-1	1	-1	-1	-1	1	1	0	-1	-1	-1	-1	-1	-1	1
LOC647910	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
